species_en,species_zh,rule_id,body_length_mm_min,body_length_mm_max,body_length_mm_mid,bill_length_mm_min,bill_length_mm_max,bill_length_mm_mid,wing_length_mm_min,wing_length_mm_max,wing_length_mm_mid,tail_length_mm_min,tail_length_mm_max,tail_length_mm_mid,tarsus_length_mm_min,tarsus_length_mm_max,tarsus_length_mm_mid,weight_g_min,weight_g_max,weight_g_mid,primary_color,secondary_color,color_black,color_white,color_light_gray,color_dark_gray,color_light_brown,color_dark_brown,color_rufous,color_green,color_yellow,color_blue,color_purple,color_red,Resident,Winter,Summer,Transient,Vagrant,Introduced,Behavior_Sally,Behavior_Glean,Behavior_Sweep,Behavior_Sticky,Behavior_Peck,Behavior_Suck,Behavior_Filter,Behavior_Dive,Behavior_Flycatch,Behavior_Stab,Behavior_SkyToWater,Behavior_Probe,Behavior_Fly,Diet_Plankton,Diet_Annelid,Diet_Mollus,Diet_Hexapod,Diet_Crustacean,Diet_Multipod,Diet_Spider,Diet_Mammal,Diet_Bird,Diet_Reptiles,Diet_Amphibian,Diet_Fish,Diet_CarrionTrash,Diet_Fruit,Diet_Nect,Diet_Seed,Diet_Leaf,ForStrat_WatBelowDeep,ForStrat_WatBelowShallow,ForStrat_Watsurf,ForStrat_Mud,ForStrat_Ground,ForStrat_Understory,ForStrat_MidLayer,ForStrat_Canopy,ForStrat_Aerial,ForStrat_Trunk,ActivityTime_Diurnal,ActivityTime_Nocturnal,Flocks_ConspecificsBreedingSeason,Flocks_ConspecificsNonBreedingSeason,Flocks_Mixed.speciesNonBreedingSeason,Habitat_Forest,Habitat_ForestEdge,Habitat_Shrubland,Habitat_Shortgrass,Habitat_Tallgrass,Habitat_MiddleUpperOfStream,Habitat_PermanentInlandDeltas,Habitat_FreshwaterLakesPools,Habitat_TallEmergentMarshes,Habitat_LowEmergentMarshes,Habitat_RockyArea,Habitat_SubtidalRockRockyReefs,Habitat_Pelagic,Habitat_RockyShoreline,Habitat_SandyPebbleShorelineBeaches,Habitat_Mud_shoreline_intertidal_mudflats,Habitat_DrylandFarming,Habitat_UrbanParks,Habitat_UrbanRuralArea,Habitat_AquaculturePonds,Habitat_SaltExploitationSites,Habitat_PaddyField,Elevation_Plain,Elevation_Low,Elevation_Middle,Elevation_High,Territoriality_BreedingSeason,Territoriality_BreedingSeasonType,Territoriality_NonBreedingSeason,BroodParasites,ColonialBreeding,Nestsite_CliffBanks,Nestsite_WithinFoliages,Nestsite_OnBranches,Nestsite_InCavity,Nestsite_EpiphytesAroundTrunk,Nestsite_Shrubs,Nestsite_SoilSlopeWithVegetation,Nestsite_SoilSlopeWithoutVegetation,Nestsite_ThickTallgrass,Nestsite_Ground,Nestsite_OnWaterbody,Nestsite_ArtificialStructures,Neststructure_Scrape,Neststructure_Platform,Neststructure_Cup,Neststructure_Dome,Neststructure_Bag,Neststructure_DomeWithTunnel,Neststructure_PrimaryCavity,Neststructure_SecondaryCavity,ClutchSizeMean,Dimorphism_Size,Dimorphism_Plumage,EcosystemServices_Pollination,EcosystemServices_SeedDispersal,EcosystemServices_InsectControl,EcosystemServices_RegulationInvasiveSpecies,status_notes,campus_spots
White-breasted Waterhen,白腹秧雞,1,253.8,253.8,253.8,37.6,37.6,37.6,159.8,159.8,159.8,70.7,70.7,70.7,55.7,55.7,55.7,203.1,203.1,203.1,rufous,gray,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8,12,28,2,0,2,0,0,0,4,12,0,0,0,28,4,0,25,0,0,50,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,A,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,1,,醉月湖;生態池
Eurasian Moorhen,紅冠水雞,1,272,272,272,40.4,40.4,40.4,161.3,161.3,161.3,71.8,71.8,71.8,49.8,49.8,49.8,218.9,218.9,218.9,gray,black,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,20,10,5,0,0,0,0,0,5,10,5,5,0,5,30,0,50,0,0,30,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5.4,0,0,0,0,0,1,,醉月湖;生態池
Malayan Night Heron,黑冠麻鷺,1,407,407,407,43.2,43.2,43.2,256,256,256,98,98,98,69.9,69.9,69.9,431.8,431.8,431.8,rufous,brown,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,38,2,10,0,0,2,8,8,12,18,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,常見於草地與樹林邊,農場;草地;樹林邊
Eastern Cattle Egret,黃頭鷺,1,421.7,421.7,421.7,52.3,52.3,52.3,246,246,246,88.8,88.8,88.8,82.1,82.1,82.1,275.6,275.6,275.6,rufous,brown,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,5,5,10,8,20,20,5,2,0,0,0,0,0,10,0,0,80,10,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,3,C,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,季節性常見,濕地;草地
Common Kingfisher,翠鳥,1,127.9,127.9,127.9,38.4,38.4,38.4,70.6,70.6,70.6,30.9,30.9,30.9,10,10,10,28.1,28.1,28.1,blue,rufous,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,5,15,0,0,0,0,0,5,75,0,0,0,0,0,40,0,10,0,25,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,A,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.1,0,0,0,0,0,1,水域邊常見,生態池邊;湖岸
Light-vented Bulbul,白頭翁,1,169.1,169.1,169.1,15.1,15.1,15.1,82.2,82.2,82.2,77.2,77.2,77.2,21.4,21.4,21.4,29.7,29.7,29.7,yellow,brown,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,55,0,3,5,0,0,0,0,20,20,20,40,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,A,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5,0,0,0,1,1,0,,樹林;校園綠地
Black Bulbul,紅嘴黑鵯,1,209.7,209.7,209.7,23.5,23.5,23.5,113.5,113.5,113.5,94.3,94.3,94.3,19.1,19.1,19.1,52.3,52.3,52.3,gray,black,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0,0,10,0,0,0,40,5,0,0,0,0,0,0,0,15,40,40,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,,樹林
Swinhoe’s White-eye,斯氏繡眼,1,92.8,92.8,92.8,11.3,11.3,11.3,52.5,52.5,52.5,37.5,37.5,37.5,16.2,16.2,16.2,9,9,9,green,yellow,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,70,0,0,0,30,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0,0,0,0,0,0,30,30,10,0,0,0,0,0,0,15,5,80,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,A,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.8,0,0,1,1,1,1,,樹林;綠籬
Taiwan Barbet,五色鳥,1,188.9,188.9,188.9,24.2,24.2,24.2,96.8,96.8,96.8,62.4,62.4,62.4,28,28,28,82.9,82.9,82.9,blue,green,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,60,0,0,5,0,0,0,0,0,0,40,60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5,0,0,0,1,1,0,特有種,樹林
Eurasian Magpie,喜鵲,1,480,480,480,33.4,33.4,33.4,200.8,200.8,200.8,212.9,212.9,212.9,50.6,50.6,50.6,174.8,174.8,174.8,blue,black,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,5,20,0,0,0,10,10,10,10,0,20,5,0,5,0,0,0,0,0,100,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.5,0,0,0,0,0,1,引進常見,草地;樹林邊;建築邊
Grey Treepie,樹鵲,1,380,380,380,34.3,34.3,34.3,135.2,135.2,135.2,195.6,195.6,195.6,29.4,29.4,29.4,85.2,85.2,85.2,brown,gray,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,5,5,0,0,0,25,0,25,0,0,0,0,0,20,0,40,40,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5,0,0,0,1,1,1,特有亞種,樹林
Taiwan Blue Magpie,台灣藍鵲,1,544.6,544.6,544.6,39.1,39.1,39.1,191.7,191.7,191.7,360.1,360.1,360.1,51.1,51.1,51.1,198.7,198.7,198.7,blue,black,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,5,0,10,15,15,5,0,10,20,0,0,5,0,0,0,0,30,0,40,30,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.5,0,0,0,0,0,1,特有種 校園可遇,樹林
Black Drongo,大卷尾,1,253.3,253.3,253.3,21.9,21.9,21.9,142.6,142.6,142.6,124.3,124.3,124.3,22.7,22.7,22.7,57.3,57.3,57.3,black,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,45,5,0,0,0,0,0,0,50,0,0,0,0,0,0,0,52,0,2,0,6,30,6,4,0,0,0,0,0,0,0,0,0,0,30,0,5,0,65,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,暖季常見,開闊地;草地
Vinous-throated Parrotbill,粉紅鸚嘴,1,115.8,115.8,115.8,8.8,8.8,8.8,50.7,50.7,50.7,61.8,61.8,61.8,21,21,21,9.9,9.9,9.9,rufous,brown,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,10,0,50,0,0,0,0,0,0,80,15,5,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,A,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,,草叢;灌叢
Eurasian Tree Sparrow,麻雀,1,119.3,119.3,119.3,12,12,12,64.4,64.4,64.4,47.7,47.7,47.7,17.9,17.9,17.9,21.8,21.8,21.8,rufous,brown,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,10,0,0,60,7,0,0,0,0,80,20,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,2,B,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.5,0,0,0,0,0,0,,建築邊;廣場
Common Myna,家八哥,1,240,240,240,21.7,21.7,21.7,126.4,126.4,126.4,79.5,79.5,79.5,37.8,37.8,37.8,79.1,79.1,79.1,gray,black,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45,2,3,2,0,0,15,2,0,15,12,0,2,0,0,0,0,0,90,0,0,10,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,2,B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.7,0,0,0,0,1,0,外來常見,建築邊;草地
Javan Myna,白尾八哥,1,240,240,240,21.8,21.8,21.8,123.2,123.2,123.2,77.4,77.4,77.4,37.4,37.4,37.4,87.6,87.6,87.6,gray,black,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40,2,3,3,0,0,8,4,0,14,16,0,2,0,0,0,0,0,90,0,0,10,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,2,B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,0,0,0,0,1,0,外來常見,建築邊;草地
Spotted Dove,珠頸斑鳩,1,285,285,285,15.2,15.2,15.2,147.8,147.8,147.8,139.3,139.3,139.3,27,27,27,139.6,139.6,139.6,brown,gray,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,35,0,25,10,0,0,0,0,80,15,0,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,2,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,,草地;樹林邊
Red Collared Dove,紅鳩,1,210.2,210.2,210.2,13.4,13.4,13.4,132,132,132,84.7,84.7,84.7,20.6,20.6,20.6,99.1,99.1,99.1,red,brown,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,80,20,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,,草地;農場
Barn Swallow,家燕,1,157.2,157.2,157.2,8.1,8.1,8.1,112.8,112.8,112.8,65.4,65.4,65.4,11.1,11.1,11.1,17.3,17.3,17.3,blue,rufous,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,2,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.5,0,0,0,0,1,0,全年或暖季盤旋,天空;操場上空;湖面上空
Pacific Swallow,洋燕,1,121.7,121.7,121.7,8.6,8.6,8.6,108.7,108.7,108.7,51.3,51.3,51.3,10.6,10.6,10.6,14.9,14.9,14.9,blue,rufous,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.5,0,0,0,0,1,0,,天空;建築邊
House Swift,小雨燕,1,123.7,123.7,123.7,5.7,5.7,5.7,126.5,126.5,126.5,50.3,50.3,50.3,9.8,9.8,9.8,29.8,29.8,29.8,black,white,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,3,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.5,0,0,0,0,1,0,高空滑翔,高空;建築邊
White Wagtail,白鶺鴒,1,159.6,159.6,159.6,13.7,13.7,13.7,83.2,83.2,83.2,80.4,80.4,80.4,22.8,22.8,22.8,20.1,20.1,20.1,gray,black,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,85,0,0,0,0,0,0,15,0,0,0,0,0,4,0,84,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,10,0,75,0,0,0,15,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,A,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.5,0,0,0,0,1,0,冬季常見,地面;水邊
Gray Wagtail,灰鶺鴒,1,185,185,185,13,13,13,81,81,81,89,89,89,20.5,20.5,20.5,15.9,15.9,15.9,yellow,gray,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,75,0,0,0,0,0,0,25,0,0,0,0,0,0,0,70,5,0,13,0,0,0,0,12,0,0,0,0,0,0,0,30,0,45,0,0,0,25,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,冬季常見,地面;溪流邊
